iter	Passed	Remaining
0	0	838
1	1	735
2	2	703
3	2	667
4	3	640
5	3	627
6	4	612
7	4	605
8	5	600
9	6	596
10	6	591
11	7	588
12	7	583
13	8	581
14	8	590
15	9	588
16	10	585
17	10	582
18	11	580
19	11	577
20	12	575
21	12	574
22	13	573
23	14	569
24	14	567
25	15	564
26	15	567
27	16	566
28	16	565
29	17	563
30	17	561
31	18	559
32	19	558
33	19	556
34	20	555
35	20	553
36	21	552
37	21	551
38	22	549
39	23	554
40	24	562
41	24	563
42	25	562
43	25	561
44	26	559
45	26	557
46	27	556
47	28	555
48	28	555
49	29	556
50	30	560
51	30	562
52	31	561
53	31	560
54	32	559
55	33	557
56	33	556
57	34	555
58	34	554
59	35	553
60	35	552
61	36	550
62	36	549
63	37	547
64	38	546
65	38	546
66	39	546
67	40	548
68	40	548
69	41	547
70	41	546
71	42	546
72	42	544
73	43	543
74	44	542
75	44	541
76	45	540
77	45	542
78	46	541
79	46	540
80	47	538
81	47	536
82	48	532
83	48	530
84	49	529
85	49	527
86	50	526
87	50	524
88	51	523
89	51	521
90	52	520
91	52	518
92	53	517
93	53	517
94	54	517
95	54	515
96	55	514
97	55	512
98	56	511
99	56	510
100	57	509
101	57	508
102	58	506
103	58	505
104	59	504
105	59	503
106	60	502
107	60	501
108	61	500
109	61	499
110	62	498
111	62	497
112	63	495
113	63	495
114	64	493
115	64	492
116	65	490
117	65	489
118	66	488
119	66	487
120	66	486
121	67	487
122	68	491
123	70	496
124	71	501
125	72	501
126	72	499
127	73	498
128	73	497
129	74	496
130	74	497
131	75	497
132	76	497
133	76	496
134	77	495
135	77	494
136	78	493
137	78	492
138	79	491
139	79	490
140	80	489
141	80	487
142	81	486
143	81	485
144	82	484
145	82	482
146	83	481
147	83	481
148	84	480
149	84	480
150	85	479
151	85	478
152	86	477
153	86	476
154	87	475
155	87	474
156	88	473
157	88	472
158	89	471
159	89	471
160	90	469
161	90	469
162	91	468
163	91	467
164	92	467
165	92	466
166	93	465
167	93	464
168	94	463
169	94	462
170	95	461
171	95	460
172	96	459
173	96	459
174	97	458
175	97	457
176	98	456
177	98	455
178	99	455
179	99	454
180	100	453
181	100	452
182	101	451
183	101	450
184	102	449
185	102	449
186	103	448
187	103	447
188	104	446
189	104	445
190	105	445
191	105	444
192	106	443
193	106	442
194	107	441
195	107	441
196	108	440
197	108	439
198	108	438
199	109	437
200	109	437
201	110	436
202	110	435
203	111	434
204	111	433
205	112	433
206	113	434
207	114	436
208	115	438
209	116	438
210	117	438
211	117	437
212	118	436
213	118	436
214	119	437
215	120	437
216	121	436
217	121	435
218	121	434
219	122	434
220	122	433
221	123	432
222	123	431
223	124	430
224	124	430
225	125	429
226	125	428
227	126	427
228	126	426
229	127	426
230	127	425
231	128	426
232	129	427
233	131	429
234	131	428
235	132	427
236	132	427
237	133	426
238	133	425
239	134	424
240	134	424
241	135	424
242	136	423
243	136	423
244	137	422
245	137	421
246	137	420
247	138	419
248	138	419
249	139	418
250	139	417
251	140	416
252	140	415
253	141	415
254	141	414
255	142	413
256	142	412
257	143	413
258	144	412
259	144	411
260	145	411
261	145	410
262	146	409
263	146	408
264	147	408
265	147	407
266	148	406
267	148	405
